Gene_Symbol,Gene_Name,Gene_MIM_ID,Entrez_Gene_ID,Phenotype_MIM_IDs,Phenotype_Titles,Evidence_Layers,Mechanism_Tags,UltraStrict_Direct,Recommended_Primary,Recommended_Extended_Sensitivity,Hemorrhagic_Flag,Venous_Predominant_Flag,Gene_Entry_Present_In_Export,Evidence_URLs
ALOX5AP,Arachidonate 5-lipoxygenase activating protein,603700,241,601367,"STROKE, ISCHEMIC",UltraStrict_Direct_AIS,direct_ischemic,true,true,true,false,false,true,https://www.ncbi.nlm.nih.gov/medgen/215292
ARHGEF15,Rho guanine nucleotide exchange factor 15,608504,22899,621331,BRAIN SMALL VESSEL DISEASE 5 WITH OSTEOPOROSIS; BSVD5,Primary_Adult_Monogenic,arteriopathy,false,true,true,true,false,false,https://www.ncbi.nlm.nih.gov/gene/22899
F2,"Coagulation factor II, thrombin",176930,2147,601367,"STROKE, ISCHEMIC",UltraStrict_Direct_AIS,direct_ischemic,true,true,true,false,false,true,https://www.ncbi.nlm.nih.gov/medgen/215292
F5,Coagulation factor V,612309,2153,601367;188055,"STROKE, ISCHEMIC | THROMBOPHILIA DUE TO ACTIVATED PROTEIN C RESISTANCE; THPH2",UltraStrict_Direct_AIS;Extended_Etiologic,direct_ischemic;thrombophilia,true,true,true,false,true,true,https://www.ncbi.nlm.nih.gov/medgen/215292;https://www.ncbi.nlm.nih.gov/gene/2153
HTRA1,HTRA serine peptidase 1,602194,5654,600142;616779,"CEREBRAL ARTERIOPATHY, AUTOSOMAL RECESSIVE, WITH SUBCORTICAL INFARCTS AND LEUKOENCEPHALOPATHY 2; CARASIL2 | CEREBRAL ARTERIOPATHY, AUTOSOMAL DOMINANT, WITH SUBCORTICAL INFARCTS AND LEUKOENCEPHALOPATHY, TYPE 2; CADASIL2",Primary_Adult_Monogenic,arteriopathy,false,true,true,false,false,true,https://www.ncbi.nlm.nih.gov/books/NBK32533/
NOTCH3,Notch receptor 3,600276,4854,125310,"CEREBRAL ARTERIOPATHY, AUTOSOMAL DOMINANT, WITH SUBCORTICAL INFARCTS AND LEUKOENCEPHALOPATHY, TYPE 1; CADASIL1",Primary_Adult_Monogenic,arteriopathy,false,true,true,false,false,true,https://www.ncbi.nlm.nih.gov/books/NBK1500/
