Search_Rank,MIM_Raw,MIM_ID,Entry_Prefix,Entry_Type,Title,Included_Titles,Cytogenetic_Location,Genomic_Coordinates_GRCh38,Entrez_Gene_ID_Raw,Title_Symbol_Candidate,Is_Gene_Search_Hit,Relation_Class,Mechanism_Tag,Age_Scope,Hemorrhagic_Flag,Venous_Predominant_Flag,Gene_Phenotype_Link_Status,Evidence_Layer,Linked_Gene_Symbols,Gene_Target_Status,Target_Eligible_Strict,Include_Extended_Sensitivity,Decision_Reason,Evidence_URL,Source_File,Search_Term,Download_Date,Search_Truncated,Reported_Hits,Exported_Hits
17,#540000,540000,#,Phenotype_known_molecular_basis,"MITOCHONDRIAL MYOPATHY, ENCEPHALOPATHY, LACTIC ACIDOSIS, AND STROKE-LIKE EPISODES; MELAS",,,,,,false,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,,Not_a_gene_record,false,false,线粒体卒中样发作并非动脉缺血性卒中,,OMIM-MIMATCH_result.xlsx,acute ischemic stroke,2026-07-14,true,2444,1000
19,#176000,176000,#,Phenotype_known_molecular_basis,"PORPHYRIA, ACUTE INTERMITTENT; AIP","PORPHYRIA, ACUTE INTERMITTENT, NONERYTHROID VARIANT, INCLUDED",11q23.3,,,,false,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,,Not_a_gene_record,false,false,非脑动脉缺血性疾病,,OMIM-MIMATCH_result.xlsx,acute ischemic stroke,2026-07-14,true,2444,1000
20,#268200,268200,#,Phenotype_known_molecular_basis,"MYOGLOBINURIA, ACUTE RECURRENT, AUTOSOMAL RECESSIVE",,2p25.1,,,,false,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,,Not_a_gene_record,false,false,非脑动脉缺血性疾病,,OMIM-MIMATCH_result.xlsx,acute ischemic stroke,2026-07-14,true,2444,1000
21,#608033,608033,#,Phenotype_known_molecular_basis,"ENCEPHALOPATHY, ACUTE, INFECTION-INDUCED, SUSCEPTIBILITY TO, 3; IIAE3",,2q13,,,,false,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,,Not_a_gene_record,false,false,急性脑炎/感染性脑病，非AIS,,OMIM-MIMATCH_result.xlsx,acute ischemic stroke,2026-07-14,true,2444,1000
22,#612376,612376,#,Phenotype_known_molecular_basis,ACUTE PROMYELOCYTIC LEUKEMIA; APL,,17q21.2,,,,false,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,,Not_a_gene_record,false,false,检索词中的acute等来自血液肿瘤语境，非脑缺血性卒中,,OMIM-MIMATCH_result.xlsx,acute ischemic stroke,2026-07-14,true,2444,1000
23,#620461,620461,#,Phenotype_known_molecular_basis,"ENCEPHALITIS, ACUTE, INFECTION-INDUCED, SUSCEPTIBILITY TO, 12; IIAE12",,11p15.5,,,,false,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,,Not_a_gene_record,false,false,急性脑炎/感染性脑病，非AIS,,OMIM-MIMATCH_result.xlsx,acute ischemic stroke,2026-07-14,true,2444,1000
24,%613067,613067,%,Phenotype_or_locus_molecular_basis_unknown,"LEUKEMIA, ACUTE LYMPHOBLASTIC, SUSCEPTIBILITY TO, 2; ALL2",,7p12.2,7:49000001-50500000,100310786,,false,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,,Not_a_gene_record,false,false,检索词中的acute等来自血液肿瘤语境，非脑缺血性卒中,,OMIM-MIMATCH_result.xlsx,acute ischemic stroke,2026-07-14,true,2444,1000
25,*603350,603350,*,Gene_entry,"2-PRIME,5-PRIME-OLIGOADENYLATE SYNTHETASE 2; OAS2",,12q24.13,12:112978519-113011723,4939,OAS2,true,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,,Exclude_from_gene_set,false,false,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,,OMIM-MIMATCH_result.xlsx,acute ischemic stroke,2026-07-14,true,2444,1000
30,*133170,133170,*,Gene_entry,ERYTHROPOIETIN; EPO,,7q22.1,7:100720468-100723700,2056,EPO,true,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,,Exclude_from_gene_set,false,false,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,,OMIM-MIMATCH_result.xlsx,acute ischemic stroke,2026-07-14,true,2444,1000
31,#606054,606054,#,Phenotype_known_molecular_basis,PROPIONIC ACIDEMIA,,"3q22.3, 13q32.3",,,,false,Excluded,other,Not_assigned,false,false,not_verified_for_AIS,,,Not_a_gene_record,false,false,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,,OMIM-MIMATCH_result.xlsx,acute ischemic stroke,2026-07-14,true,2444,1000
40,#605714,605714,#,Phenotype_known_molecular_basis,"CEREBRAL AMYLOID ANGIOPATHY, APP-RELATED",,21q21.3,,,,false,Excluded,arteriopathy_or_small_vessel,Not_assigned,false,false,not_verified_for_AIS,,,Not_a_gene_record,false,false,MIM Match全文命中；当前文件未提供明确成人动脉性AIS表型或经核验的gene–phenotype链路,,OMIM-MIMATCH_result.xlsx,acute ischemic stroke,2026-07-14,true,2444,1000
