MIM_Raw,Title,Comparison_Status,Old_Rank_200_export,New_Rank_1000_export,Rank_Shift_New_Minus_Old,Field_Values_Changed
#601399,"PLATELET DISORDER, FAMILIAL, WITH ASSOCIATED MYELOID MALIGNANCY; FPDMM",Shared,55,56,1,false
#230900,"GAUCHER DISEASE, TYPE II; GD2",Shared,56,57,1,false
#253300,"SPINAL MUSCULAR ATROPHY, TYPE I; SMA1",Shared,57,58,1,false
#608068,"NEUTROPHILIC DERMATOSIS, ACUTE FEBRILE; AFND",Shared,58,59,1,false
#610551,"ENCEPHALOPATHY, ACUTE, INFECTION-INDUCED (HERPES-SPECIFIC), SUSCEPTIBILITY TO, 1; IIAE1",Shared,47,60,13,false
#615545,"LEUKEMIA, ACUTE LYMPHOBLASTIC, SUSCEPTIBILITY TO, 3; ALL3",Shared,52,61,9,false
#619396,"ENCEPHALOPATHY, ACUTE, INFECTION-INDUCED (HERPES-SPECIFIC), SUSCEPTIBILITY TO, 10; IIAE10",Shared,62,62,0,false
#619441,"ENCEPHALITIS, ACUTE, INFECTION (VIRAL)-INDUCED, SUSCEPTIBILITY TO, 11; IIAE11",Shared,63,63,0,false
#620151,WOLMAN DISEASE; WOLD,Shared,64,64,0,false
#620950,"ENCEPHALOPATHY, ACUTE TRANSIENT; ENPAT",Shared,65,65,0,false
#621333,INFECTION-INDUCED ACUTE-ONSET AXONAL NEUROPATHY; IIAAN,Shared,66,66,0,false
%601676,ACUTE INSULIN RESPONSE,Shared,67,67,0,false
%246400,LETTERER-SIWE DISEASE,Shared,68,68,0,false
151380,"LEUKEMIA, ACUTE MONOCYTIC",Shared,69,69,0,false
246470,"LEUKEMIA, ACUTE MYELOCYTIC, WITH POLYPOSIS COLI AND COLON CANCER",Shared,70,70,0,false
247640,"LYMPHOBLASTIC LEUKEMIA, ACUTE, WITH LYMPHOMATOUS FEATURES; LALL",Shared,71,71,0,false
268240,RHEUMATIC FEVER-RELATED ANTIGEN,Shared,72,72,0,false
606752,ACUTE HEMORRHAGIC LEUKOENCEPHALITIS,Shared,73,73,0,false
607665,TUBULOINTERSTITIAL NEPHRITIS WITH UVEITIS; TINU,Shared,74,74,0,false
308960,"LEUKEMIA, ACUTE, X-LINKED",Shared,75,75,0,false
*151385,RUNT-RELATED TRANSCRIPTION FACTOR 1; RUNX1,Shared,76,76,0,false
*102578,"ACUTE PROMYELOCYTIC LEUKEMIA, INDUCER OF; PML",Shared,77,77,0,false
*102582,SIGNAL TRANSDUCER AND ACTIVATOR OF TRANSCRIPTION 3; STAT3,Shared,78,78,0,false
*120520,MEMBRANE METALLOENDOPEPTIDASE; MME,Shared,79,79,0,false
*180240,"RETINOIC ACID RECEPTOR, ALPHA; RARA",Shared,81,80,-1,false
*186855,T-CELL ACUTE LYMPHOCYTIC LEUKEMIA 2; TAL2,Shared,82,81,-1,false
*187040,T-CELL ACUTE LYMPHOCYTIC LEUKEMIA 1; TAL1,Shared,83,82,-1,false
*600617,STEROIDOGENIC ACUTE REGULATORY PROTEIN; STAR,Shared,84,83,-1,false
*133435,"RUNT-RELATED TRANSCRIPTION FACTOR 1, TRANSLOCATED TO, 1; RUNX1T1",Shared,80,84,4,false
*606602,"BRAIN AND ACUTE LEUKEMIA GENE, CYTOPLASMIC; BAALC",Shared,85,85,0,false
*608450,B-CELL ACUTE LYMPHOBLASTIC LEUKEMIA-EXPRESSED GENE; BLACE,Shared,86,86,0,false
*107730,APOLIPOPROTEIN B; APOB,Shared,87,87,0,false
*104760,AMYLOID BETA A4 PRECURSOR PROTEIN; APP,Shared,88,88,0,false
*120130,"COLLAGEN, TYPE IV, ALPHA-1; COL4A1",Shared,89,89,0,false
#187300,"TELANGIECTASIA, HEREDITARY HEMORRHAGIC, TYPE 1; HHT1",Shared,90,90,0,false
#621295,"CEREBRAL ARTERIOPATHY, AUTOSOMAL RECESSIVE, WITH SUBCORTICAL INFARCTS AND LEUKOENCEPHALOPATHY 1; CARASIL1",Shared,91,91,0,false
*590050,"TRANSFER RNA, MITOCHONDRIAL, LEUCINE, 1; MTTL1",Shared,92,92,0,false
*147796,JANUS KINASE 2; JAK2,Shared,93,93,0,false
%611494,"ATRIAL FIBRILLATION, FAMILIAL, 5; ATFB5",Shared,94,94,0,false
#105210,"AMYLOIDOSIS, HEREDITARY SYSTEMIC 1; AMYLD1",Shared,95,95,0,false
*120180,"COLLAGEN, TYPE III, ALPHA-1; COL3A1",Shared,96,96,0,false
*191160,TUMOR NECROSIS FACTOR; TNF,Shared,97,97,0,false
*138249,"GLUTAMATE RECEPTOR, IONOTROPIC, N-METHYL-D-ASPARTATE, SUBUNIT 1; GRIN1",Shared,98,98,0,false
#615483,"BASAL GANGLIA CALCIFICATION, IDIOPATHIC, 5; IBGC5",Shared,99,99,0,false
*188040,THROMBOMODULIN; THBD,Shared,100,100,0,false
#145600,"MALIGNANT HYPERTHERMIA, SUSCEPTIBILITY TO, 1; MHS1",Shared,101,101,0,false
*192240,VASCULAR ENDOTHELIAL GROWTH FACTOR A; VEGFA,Shared,102,102,0,false
#615750,MOYAMOYA DISEASE 6 WITH OR WITHOUT ACHALASIA; MYMY6,Shared,103,103,0,false
#618564,"MICROANGIOPATHY AND LEUKOENCEPHALOPATHY, PONTINE, AUTOSOMAL DOMINANT; PADMAL",Shared,104,104,0,false
*107680,APOLIPOPROTEIN A-I; APOA1,Shared,105,105,0,false
*600129,PHOSPHODIESTERASE 4D; PDE4D,Shared,106,106,0,false
#607151,MOYAMOYA DISEASE 2; MYMY2,Shared,107,107,0,false
#210720,"MICROCEPHALIC OSTEODYSPLASTIC PRIMORDIAL DWARFISM, TYPE II; MOPD2",Shared,108,108,0,false
*134830,"FIBRINOGEN, B BETA POLYPEPTIDE; FGB",Shared,109,109,0,false
*609708,LIPOPROTEIN LIPASE; LPL,Shared,110,110,0,false
*600509,"ATP-BINDING CASSETTE, SUBFAMILY C, MEMBER 8; ABCC8",Shared,111,111,0,false
*606672,"GLYCOPROTEIN Ib, PLATELET, ALPHA POLYPEPTIDE; GP1BA",Shared,112,112,0,false
#301500,FABRY DISEASE,Shared,113,113,0,false
*607093,"5,10-METHYLENETETRAHYDROFOLATE REDUCTASE; MTHFR",Shared,114,114,0,false
#182410,SNEDDON SYNDROME; SNDNS,Shared,115,115,0,false
