"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)","Gene_Symbol","UniProt_accession","Compound","PubChem_CID","Species","TaxID","Source_Database","Retrieval_Date","Analysis_Set","Selection_Criterion","Meets_Strict_Cutoff","Included","Mapping_Note"
"Glycine receptor subunit alpha-1","GLRA1","P23415","CHEMBL5845","Ligand-gated ion channel","0.9285033668861793","38 /  7","GLRA1","P23415","Bilobalide","73581","Homo sapiens","9606","SwissTargetPrediction","2026-07-11","extended_inclusive","Probability >= 0.3","TRUE","TRUE",""
"Glycine receptor subunit alpha-2","GLRA2","P23416","CHEMBL5871","Ligand-gated ion channel","0.9281293277882243","5 /  5","GLRA2","P23416","Bilobalide","73581","Homo sapiens","9606","SwissTargetPrediction","2026-07-11","extended_inclusive","Probability >= 0.3","TRUE","TRUE",""
"Platelet-activating factor receptor","PTAFR","P25105","CHEMBL250","Family A G protein-coupled receptor","0.9273758288310694","200 /  6","PTAFR","P25105","Bilobalide","73581","Homo sapiens","9606","SwissTargetPrediction","2026-07-11","extended_inclusive","Probability >= 0.3","TRUE","TRUE",""
"Beta-glucuronidase","GUSB","P08236","CHEMBL2728","Hydrolase","0.9273758288310694","89 /  1","GUSB","P08236","Bilobalide","73581","Homo sapiens","9606","SwissTargetPrediction","2026-07-11","extended_inclusive","Probability >= 0.3","TRUE","TRUE",""
"Kappa-type opioid receptor","OPRK1","P41145","CHEMBL237","Family A G protein-coupled receptor","0.42465054779412786","2311 /  63","OPRK1","P41145","Bilobalide","73581","Homo sapiens","9606","SwissTargetPrediction","2026-07-11","extended_inclusive","Probability >= 0.3","FALSE","TRUE",""
"Protein kinase C alpha type","PRKCA","P17252","CHEMBL299","Kinase","0.32540390698929317","727 /  206","PRKCA","P17252","Bilobalide","73581","Homo sapiens","9606","SwissTargetPrediction","2026-07-11","extended_inclusive","Probability >= 0.3","FALSE","TRUE",""
"Tyrosine-protein phosphatase non-receptor type 1","PTPN1","P18031","CHEMBL335","Phosphatase","0.30134421949092244","647 /  40","PTPN1","P18031","Bilobalide","73581","Homo sapiens","9606","SwissTargetPrediction","2026-07-11","extended_inclusive","Probability >= 0.3","FALSE","TRUE",""
