"logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene_Symbol","Dataset","Contrast","Platform","Age_Sex_Corrected","FDR_lt_0.05","Strict_abs_log2FC_ge_1","Extended_abs_log2FC_ge_0.5"
0.976423686852303,0.0988098746129032,7.44160434801716,2.63147932968529e-10,3.83625828279287e-07,13.2480464966972,"C5AR1","GSE16561","AIS_vs_Control_age_sex_adjusted","GPL6883",TRUE,TRUE,FALSE,TRUE
0.54283413066311,-0.060640551483871,7.40035303925602,3.11844845953796e-10,4.19647210393516e-07,13.0808079362352,"MTPN","GSE16561","AIS_vs_Control_age_sex_adjusted","GPL6883",TRUE,TRUE,FALSE,TRUE
0.49773887728769,0.0217844131451613,7.27789074719115,5.16047612825793e-10,6.44838352769601e-07,12.6070938486026,"NPEPPS","GSE16561","AIS_vs_Control_age_sex_adjusted","GPL6883",TRUE,TRUE,FALSE,FALSE
0.675267468180662,-0.0205261321290322,7.21426290687644,6.70254515785521e-10,7.39604816995194e-07,12.357466127633,"HMGCR","GSE16561","AIS_vs_Control_age_sex_adjusted","GPL6883",TRUE,TRUE,FALSE,TRUE
0.782539847828801,-0.0159835049516129,7.21202580255964,6.76442041381223e-10,7.39604816995194e-07,12.3472549709789,"RAB31","GSE16561","AIS_vs_Control_age_sex_adjusted","GPL6883",TRUE,TRUE,FALSE,TRUE
0.885065772625854,0.0165795498095238,7.10748458589342,9.68894757954702e-10,9.08722947549447e-07,12.0117197036324,"VNN3","GSE16561","AIS_vs_Control_age_sex_adjusted","GPL6883",TRUE,TRUE,FALSE,TRUE
0.675450568670054,0.0199663265483871,7.12440177982631,9.69303305774129e-10,9.08722947549447e-07,12.0119987958948,"PAK1","GSE16561","AIS_vs_Control_age_sex_adjusted","GPL6883",TRUE,TRUE,FALSE,TRUE
0.60362544481696,0.0166396260793651,7.09537060989315,1.01858350323283e-09,9.08722947549447e-07,11.9643103888806,"CREBBP","GSE16561","AIS_vs_Control_age_sex_adjusted","GPL6883",TRUE,TRUE,FALSE,TRUE
0.46415894069305,0.0170194842328042,7.0905870359752,1.03889670464096e-09,9.08722947549447e-07,11.9455916059608,"STAU1","GSE16561","AIS_vs_Control_age_sex_adjusted","GPL6883",TRUE,TRUE,FALSE,FALSE
0.582003745393961,-0.0360456750806452,7.06280797477935,1.24787046477339e-09,1.021061509073e-06,11.7714371872348,"PELI2","GSE16561","AIS_vs_Control_age_sex_adjusted","GPL6883",TRUE,TRUE,FALSE,TRUE
0.601746707347162,0.0344010488650794,7.02991531676051,1.3343998755799e-09,1.021061509073e-06,11.7082892453777,"RNF13","GSE16561","AIS_vs_Control_age_sex_adjusted","GPL6883",TRUE,TRUE,FALSE,TRUE
0.567033914515197,0.026513916,7.02846098453343,1.34242681540408e-09,1.021061509073e-06,11.7026036805939,"BAZ1A","GSE16561","AIS_vs_Control_age_sex_adjusted","GPL6883",TRUE,TRUE,FALSE,TRUE
0.672079688873994,0.0349322006451613,7.00645777117051,1.57200082019714e-09,1.14585759785537e-06,11.5508452862301,"ZMIZ1","GSE16561","AIS_vs_Control_age_sex_adjusted","GPL6883",TRUE,TRUE,FALSE,TRUE
0.696558342982275,-0.00891887138709675,6.96381970171138,1.87186337141862e-09,1.30985511278389e-06,11.3852512546111,"ETS2","GSE16561","AIS_vs_Control_age_sex_adjusted","GPL6883",TRUE,TRUE,FALSE,TRUE
0.751009236970199,-0.0308052478225806,6.85401388409656,2.93278803432533e-09,1.92100387535902e-06,10.9616200598382,"NPL","GSE16561","AIS_vs_Control_age_sex_adjusted","GPL6883",TRUE,TRUE,FALSE,TRUE
0.722053786930916,-0.0238874514032257,6.85135212176945,2.96485107092109e-09,1.92100387535902e-06,10.9505736353252,"DOCK8","GSE16561","AIS_vs_Control_age_sex_adjusted","GPL6883",TRUE,TRUE,FALSE,TRUE
