"Gene_Symbol","logFC_GSE16561","adj.P.Val_GSE16561","logFC_GSE58294","adj.P.Val_GSE58294","Evidence_Class","Replication_Rule"
"CPEB4",0.543625400010644,0.00544825877641764,0.674907545652174,0.000104300973393084,"Acute_Transcriptomics","FDR<0.05; abs(log2FC)>=0.5; same direction in GSE16561 and GSE58294"
"CPQ",0.513527973282063,9.1493872629682e-05,0.951427171739131,3.47169235428562e-10,"Acute_Transcriptomics","FDR<0.05; abs(log2FC)>=0.5; same direction in GSE16561 and GSE58294"
"CR1",0.504444751279289,0.00135459917189147,0.80078535966087,8.66864784357284e-07,"Acute_Transcriptomics","FDR<0.05; abs(log2FC)>=0.5; same direction in GSE16561 and GSE58294"
"CREBRF",0.53409370298451,0.000315703266696212,0.629106283913043,2.31953590034857e-07,"Acute_Transcriptomics","FDR<0.05; abs(log2FC)>=0.5; same direction in GSE16561 and GSE58294"
"CXCL16",0.793443723330307,9.08033605647833e-05,0.728003913043479,1.58766987982627e-06,"Acute_Transcriptomics","FDR<0.05; abs(log2FC)>=0.5; same direction in GSE16561 and GSE58294"
"CYP1B1",0.702069607534099,0.00205621501823363,0.585696076086957,0.000739833462881994,"Acute_Transcriptomics","FDR<0.05; abs(log2FC)>=0.5; same direction in GSE16561 and GSE58294"
"CYSTM1",0.684837261165091,0.0014583754515629,0.748455652173913,5.82531680228745e-06,"Acute_Transcriptomics","FDR<0.05; abs(log2FC)>=0.5; same direction in GSE16561 and GSE58294"
"DOCK5",0.522414778329579,0.000828624173920274,0.516517147065217,2.79756099886942e-05,"Acute_Transcriptomics","FDR<0.05; abs(log2FC)>=0.5; same direction in GSE16561 and GSE58294"
"DYNLT1",0.521044298853094,0.000242231312051653,0.551807391304348,8.7101635130932e-06,"Acute_Transcriptomics","FDR<0.05; abs(log2FC)>=0.5; same direction in GSE16561 and GSE58294"
"DYSF",1.01849269719273,0.000154981503028175,0.718373043478261,7.45918567420056e-05,"Acute_Transcriptomics","FDR<0.05; abs(log2FC)>=0.5; same direction in GSE16561 and GSE58294"
