"Gene_Symbol","logFC_GSE16561","adj.P.Val_GSE16561","logFC_GSE58294","adj.P.Val_GSE58294","Evidence_Class","Replication_Rule"
"ARG1",1.39161607620775,0.000148361204746008,1.15494024456522,1.76901625433798e-05,"Acute_Transcriptomics","FDR<0.05; abs(log2FC)>=1; same direction in GSE16561 and GSE58294"
"FOLR3",1.25247626762095,0.000752603160643832,1.15566695652174,0.00333456984191383,"Acute_Transcriptomics","FDR<0.05; abs(log2FC)>=1; same direction in GSE16561 and GSE58294"
"LY96",1.01376544966267,0.00974350866186487,1.01148782608696,2.10608296758569e-05,"Acute_Transcriptomics","FDR<0.05; abs(log2FC)>=1; same direction in GSE16561 and GSE58294"
"MMP9",1.37557078514373,0.000306951121816695,1.34286,2.26903295362701e-05,"Acute_Transcriptomics","FDR<0.05; abs(log2FC)>=1; same direction in GSE16561 and GSE58294"
