assocID,Disease,Disease_CUI,Gene_Symbol,Entrez_Gene_ID,Ensembl_Gene_ID,Gene_Description,Gene_Type,Raw_GDA_Score,Normalized_Score,N_PMIDs,First_Ref_Year,Last_Ref_Year,EI,DSI,DPI,Evidence_Origin,Has_Human_TextMining,Has_Model_TextMining,Broad_Ischemic_Stroke_Present,Broad_Raw_GDA_Score,Broad_N_PMIDs,Evidence_Tier,Protein_Coding_for_STRING,Human_Literature_Extended_Eligible,Conservative_EI_Eligible,Recommended_Use,Association_Role,Caution,Score_Breakdown
3026_C5392833,Acute Ischemic Stroke,C5392833,HABP2,3026,ENSG00000148702,hyaluronan binding protein 2,protein-coding,0.25,0.1612903225806451,2,2016,2022,1,0.58,0.71,Human_and_model_text_mining,TRUE,TRUE,TRUE,0.25,7,Extended_PC_0.20_to_lt_0.30,TRUE,TRUE,TRUE,Conservative_sensitivity_only,,Below the primary raw-score threshold; do not merge into the strict set without labeling.,"Total: 0.25 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_HUMAN,TEXTMINING_MODELS; publications=2; weight=0.2"
3066_C5392833,Acute Ischemic Stroke,C5392833,HDAC2,3066,ENSG00000196591,histone deacetylase 2,protein-coding,0.25,0.1612903225806451,2,2020,2025,1,0.46,0.92,Human_and_model_text_mining,TRUE,TRUE,TRUE,0.25,4,Extended_PC_0.20_to_lt_0.30,TRUE,TRUE,TRUE,Conservative_sensitivity_only,,Below the primary raw-score threshold; do not merge into the strict set without labeling.,"Total: 0.25 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_HUMAN,TEXTMINING_MODELS; publications=2; weight=0.2"
25831_C5392833,Acute Ischemic Stroke,C5392833,HECTD1,25831,ENSG00000092148,HECT domain E3 ubiquitin protein ligase 1,protein-coding,0.25,0.1612903225806451,2,2019,2023,1,0.66,0.63,Human_and_model_text_mining,TRUE,TRUE,TRUE,0.15,1,Extended_PC_0.20_to_lt_0.30,TRUE,TRUE,TRUE,Conservative_sensitivity_only,,Below the primary raw-score threshold; do not merge into the strict set without labeling.,"Total: 0.25 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_HUMAN,TEXTMINING_MODELS; publications=2; weight=0.2"
4035_C5392833,Acute Ischemic Stroke,C5392833,LRP1,4035,ENSG00000123384,LDL receptor related protein 1,protein-coding,0.25,0.1612903225806451,2,2025,2026,1,0.45,0.88,Human_and_model_text_mining,TRUE,TRUE,TRUE,0.25,4,Extended_PC_0.20_to_lt_0.30,TRUE,TRUE,TRUE,Conservative_sensitivity_only,,Below the primary raw-score threshold; do not merge into the strict set without labeling.,"Total: 0.25 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_HUMAN,TEXTMINING_MODELS; publications=2; weight=0.2"
378938_C5392833,Acute Ischemic Stroke,C5392833,MALAT1,378938,ENSG00000251562,metastasis associated lung adenocarcinoma transcript 1,ncRNA,0.25,0.1612903225806451,2,2020,2025,1,0.43,0.88,Human_and_model_text_mining,TRUE,TRUE,TRUE,0.35,13,Extended_nonprotein_audit,FALSE,FALSE,FALSE,Noncoding_audit_only,,Non-protein-coding record; exclude from routine STRING protein PPI.,"Total: 0.25 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_HUMAN,TEXTMINING_MODELS; publications=2; weight=0.2"
406906_C5392833,Acute Ischemic Stroke,C5392833,MIR122,406906,ENSG00000284440,microRNA 122,ncRNA,0.25,0.1612903225806451,2,2014,2021,1,0.48,0.83,Human_and_model_text_mining,TRUE,TRUE,TRUE,0.25,6,Extended_nonprotein_audit,FALSE,FALSE,FALSE,Noncoding_audit_only,,Non-protein-coding record; exclude from routine STRING protein PPI.,"Total: 0.25 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_HUMAN,TEXTMINING_MODELS; publications=2; weight=0.2"
574452_C5392833,Acute Ischemic Stroke,C5392833,MIR494,574452,ENSG00000194717,microRNA 494,ncRNA,0.25,0.1612903225806451,2,2020,2025,1,0.53,0.83,Human_and_model_text_mining,TRUE,TRUE,TRUE,0.35,3,Extended_nonprotein_audit,FALSE,FALSE,FALSE,Noncoding_audit_only,,Non-protein-coding record; exclude from routine STRING protein PPI.,"Total: 0.25 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_HUMAN,TEXTMINING_MODELS; publications=2; weight=0.2"
4780_C5392833,Acute Ischemic Stroke,C5392833,NFE2L2,4780,ENSG00000116044,NFE2 like bZIP transcription factor 2,protein-coding,0.25,0.1612903225806451,2,2025,2025,1,0.36,0.92,Human_and_model_text_mining,TRUE,TRUE,TRUE,0.35,23,Extended_PC_0.20_to_lt_0.30,TRUE,TRUE,TRUE,Conservative_sensitivity_only,,Below the primary raw-score threshold; do not merge into the strict set without labeling.,"Total: 0.25 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_HUMAN,TEXTMINING_MODELS; publications=2; weight=0.2"
5052_C5392833,Acute Ischemic Stroke,C5392833,PRDX1,5052,ENSG00000117450,peroxiredoxin 1,protein-coding,0.25,0.1612903225806451,2,2021,2022,1,0.47,0.88,Model_text_mining_only,FALSE,TRUE,TRUE,0.25,6,Extended_PC_0.20_to_lt_0.30,TRUE,FALSE,FALSE,Unrefined_sensitivity_only,,Below the primary raw-score threshold; do not merge into the strict set without labeling.,Total: 0.25 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_MODELS; publications=2; weight=0.2
5820_C5392833,Acute Ischemic Stroke,C5392833,PVT1,5820,ENSG00000249859,Pvt1 oncogene,ncRNA,0.25,0.1612903225806451,2,2020,2022,1,0.47,0.83,Human_and_model_text_mining,TRUE,TRUE,TRUE,0.2,2,Extended_nonprotein_audit,FALSE,FALSE,FALSE,Noncoding_audit_only,,Non-protein-coding record; exclude from routine STRING protein PPI.,"Total: 0.25 | Curated: sources=None; count=0; weight=0 | Clinical: sources=None; count=0; weight=0 | Inferred: sources=None; count=0; weight=0 | Models: sources=TEXTMINING_MODELS; count=1; weight=0.05 | Biobank: none | Literature: sources=TEXTMINING_HUMAN,TEXTMINING_MODELS; publications=2; weight=0.2"
