Type_Specific_Rank,Gene_Rank,Gene_Symbol,UniProt_Accession,Source_ChEMBL_IDs,Source_Target_Names,Source_Target_Types,Source_Target_Entity_Count,Component_Relationship,Complex_Derived,Chimeric_Derived,Mutation_Context,D_Score,I_Score,Max_Activity_Score,PASS_Evidence_Type,Raw_Evidence_Record_Count,Score_Band_Descriptive,Prediction_Included,Evidence_Type,Organism,Tax_ID,Query_Compound,PubChem_CID,Source_Database,Source_Version,Retrieval_Date,Activity_Score_Interpretation,Pharmacologic_Direction,Source_URL
14,46,PRKAA2,P54646,CHEMBL3038455,AMPK alpha2/beta1/gamma1,PROTEIN COMPLEX,1,protein_complex_component,true,false,,,0.0687,0.0687,I,1,0.05-<0.10,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
15,47,PRKAB1,Q9Y478,CHEMBL3038455,AMPK alpha2/beta1/gamma1,PROTEIN COMPLEX,1,protein_complex_component,true,false,,,0.0687,0.0687,I,1,0.05-<0.10,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
16,48,PRKAG1,P54619,CHEMBL3038455,AMPK alpha2/beta1/gamma1,PROTEIN COMPLEX,1,protein_complex_component,true,false,,,0.0687,0.0687,I,1,0.05-<0.10,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
17,50,SF3B3,Q15393,CHEMBL1250378,Splicing factor 3B subunit 3,SINGLE PROTEIN,1,single_protein,false,false,,,0.0661,0.0661,I,1,0.05-<0.10,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
18,27,PRKCD,Q05655,CHEMBL2996,Protein kinase C delta type,SINGLE PROTEIN,1,single_protein,false,false,,0.1079,0.0611,0.1079,D+I,2,0.10-<0.20,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
19,59,RORC,P51449,CHEMBL1741186,Nuclear receptor ROR-gamma,SINGLE PROTEIN,1,single_protein,false,false,,,0.0511,0.0511,I,1,0.05-<0.10,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
20,60,ABCC9,O60706,CHEMBL2095198,"Sulfonylurea receptor 2, Kir6.2",PROTEIN COMPLEX,1,protein_complex_component,true,false,,,0.0488,0.0488,I,1,0.01-<0.05,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
21,61,KCNJ11,Q14654,CHEMBL2095198,"Sulfonylurea receptor 2, Kir6.2",PROTEIN COMPLEX,1,protein_complex_component,true,false,,,0.0488,0.0488,I,1,0.01-<0.05,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
22,51,PRKCE,Q02156,CHEMBL3582,Protein kinase C epsilon type,SINGLE PROTEIN,1,single_protein,false,false,,0.0631,0.0372,0.0631,D+I,2,0.05-<0.10,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
23,68,EIF4A1,P60842,CHEMBL2052028,Eukaryotic initiation factor 4A-I,SINGLE PROTEIN,1,single_protein,false,false,,,0.0365,0.0365,I,1,0.01-<0.05,true,prediction_only,Homo sapiens,9606,Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,Pa_minus_Pi_not_probability,not_available,https://way2drug.com/passtargets/
