Query_Compound,PubChem_CID,Source_Database,Source_Version,Retrieval_Date,Source_Row_ID,Target_Name_Original,ChEMBL_ID_Raw,ChEMBL_Target_ID_Normalized,Mutation_Context,Activity_Score,Propensity_Score_Raw,Propensity_Score_Clean,Propensity_Status,Interaction_Type,Interaction_Type_Interpretation,ChEMBL_Pref_Name,ChEMBL_Target_Type,Organism,Tax_ID,Gene_Symbols,UniProt_Accessions,Component_Count,Component_Relationship,Prediction_Included,Evidence_Type,Activity_Score_Interpretation,Pharmacologic_Direction,Mapping_Status,Source_URL
Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,13,Serine/threonine-protein phosphatase 5,CHEMBL3425389,CHEMBL3425389,,0.2341,0.2004,0.2004,Positive_propensity_returned,D,simple_assay_model_prediction,Serine/threonine-protein phosphatase 5,SINGLE PROTEIN,Homo sapiens,9606,PPP5C,P53041,1,single_protein,true,prediction_only,Pa_minus_Pi_not_probability,not_available,mapped_human_target,https://way2drug.com/passtargets/
Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,14,Solute carrier family 22 member 1,CHEMBL5685,CHEMBL5685,,0.227,0.2288,0.2288,Positive_propensity_returned,I,complex_assay_model_prediction,Solute carrier family 22 member 1,SINGLE PROTEIN,Homo sapiens,9606,SLC22A1,O15245,1,single_protein,true,prediction_only,Pa_minus_Pi_not_probability,not_available,mapped_human_target,https://way2drug.com/passtargets/
Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,15,Acyl-protein thioesterase 1,CHEMBL1681631,CHEMBL1681631,,0.2199,0.0697,0.0697,Positive_propensity_returned,D,simple_assay_model_prediction,Acyl-protein thioesterase 1,SINGLE PROTEIN,Homo sapiens,9606,LYPLA1,O75608,1,single_protein,true,prediction_only,Pa_minus_Pi_not_probability,not_available,mapped_human_target,https://way2drug.com/passtargets/
Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,16,Kappa-type opioid receptor,CHEMBL237,CHEMBL237,,0.2131,0.2607,0.2607,Positive_propensity_returned,I,complex_assay_model_prediction,Kappa-type opioid receptor,SINGLE PROTEIN,Homo sapiens,9606,OPRK1,P41145,1,single_protein,true,prediction_only,Pa_minus_Pi_not_probability,not_available,mapped_human_target,https://way2drug.com/passtargets/
Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,17,Sterol O-acyltransferase 1,CHEMBL2782,CHEMBL2782,,0.1935,0.1197,0.1197,Positive_propensity_returned,D,simple_assay_model_prediction,Sterol O-acyltransferase 1,SINGLE PROTEIN,Homo sapiens,9606,SOAT1,P35610,1,single_protein,true,prediction_only,Pa_minus_Pi_not_probability,not_available,mapped_human_target,https://way2drug.com/passtargets/
Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,18,Carbonic anhydrase 3,CHEMBL2885,CHEMBL2885,,0.1871,-1,,No_positive_propensity_returned,D,simple_assay_model_prediction,Carbonic anhydrase 3,SINGLE PROTEIN,Homo sapiens,9606,CA3,P07451,1,single_protein,true,prediction_only,Pa_minus_Pi_not_probability,not_available,mapped_human_target,https://way2drug.com/passtargets/
Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,19,DNA topoisomerase 2-beta,CHEMBL3396,CHEMBL3396,,0.1832,-1,,No_positive_propensity_returned,D,simple_assay_model_prediction,DNA topoisomerase 2-beta,SINGLE PROTEIN,Homo sapiens,9606,TOP2B,Q02880,1,single_protein,true,prediction_only,Pa_minus_Pi_not_probability,not_available,mapped_human_target,https://way2drug.com/passtargets/
Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,20,Cyclic GMP-AMP synthase,CHEMBL4105728,CHEMBL4105728,,0.1679,-1,,No_positive_propensity_returned,D,simple_assay_model_prediction,Cyclic GMP-AMP synthase,SINGLE PROTEIN,Homo sapiens,9606,CGAS,Q8N884,1,single_protein,true,prediction_only,Pa_minus_Pi_not_probability,not_available,mapped_human_target,https://way2drug.com/passtargets/
Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,21,Peptidyl-prolyl cis-trans isomerase D,CHEMBL1697657,CHEMBL1697657,,0.1674,-1,,No_positive_propensity_returned,D,simple_assay_model_prediction,Peptidyl-prolyl cis-trans isomerase D,SINGLE PROTEIN,Homo sapiens,9606,PPID,Q08752,1,single_protein,true,prediction_only,Pa_minus_Pi_not_probability,not_available,mapped_human_target,https://way2drug.com/passtargets/
Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,22,Tumor necrosis factor,CHEMBL1825,CHEMBL1825,,0.1438,-1,,No_positive_propensity_returned,D,simple_assay_model_prediction,Tumor necrosis factor,SINGLE PROTEIN,Homo sapiens,9606,TNF,P01375,1,single_protein,true,prediction_only,Pa_minus_Pi_not_probability,not_available,mapped_human_target,https://way2drug.com/passtargets/
Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,23,Caspase-8,CHEMBL3776,CHEMBL3776,,0.1402,0.0553,0.0553,Positive_propensity_returned,D,simple_assay_model_prediction,Caspase-8,SINGLE PROTEIN,Homo sapiens,9606,CASP8,Q14790,1,single_protein,true,prediction_only,Pa_minus_Pi_not_probability,not_available,mapped_human_target,https://way2drug.com/passtargets/
Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,24,Multidrug and toxin extrusion protein 2,CHEMBL1743127,CHEMBL1743127,,0.1397,0.0364,0.0364,Positive_propensity_returned,I,complex_assay_model_prediction,Multidrug and toxin extrusion protein 2,SINGLE PROTEIN,Homo sapiens,9606,SLC47A2,Q86VL8,1,single_protein,true,prediction_only,Pa_minus_Pi_not_probability,not_available,mapped_human_target,https://way2drug.com/passtargets/
Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,25,D(2) dopamine receptor,CHEMBL217,CHEMBL217,,0.134,-1,,No_positive_propensity_returned,D,simple_assay_model_prediction,D(2) dopamine receptor,SINGLE PROTEIN,Homo sapiens,9606,DRD2,P14416,1,single_protein,true,prediction_only,Pa_minus_Pi_not_probability,not_available,mapped_human_target,https://way2drug.com/passtargets/
Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,26,Proteinase-activated receptor 1,CHEMBL3974,CHEMBL3974,,0.1169,-1,,No_positive_propensity_returned,I,complex_assay_model_prediction,Proteinase-activated receptor 1,SINGLE PROTEIN,Homo sapiens,9606,F2R,P25116,1,single_protein,true,prediction_only,Pa_minus_Pi_not_probability,not_available,mapped_human_target,https://way2drug.com/passtargets/
Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,27,Kappa-type opioid receptor,CHEMBL237,CHEMBL237,,0.1097,0.2607,0.2607,Positive_propensity_returned,D,simple_assay_model_prediction,Kappa-type opioid receptor,SINGLE PROTEIN,Homo sapiens,9606,OPRK1,P41145,1,single_protein,true,prediction_only,Pa_minus_Pi_not_probability,not_available,mapped_human_target,https://way2drug.com/passtargets/
Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,28,Protein kinase C delta type,CHEMBL2996,CHEMBL2996,,0.1079,0.0685,0.0685,Positive_propensity_returned,D,simple_assay_model_prediction,Protein kinase C delta type,SINGLE PROTEIN,Homo sapiens,9606,PRKCD,Q05655,1,single_protein,true,prediction_only,Pa_minus_Pi_not_probability,not_available,mapped_human_target,https://way2drug.com/passtargets/
Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,29,Catenin beta-1,CHEMBL5866,CHEMBL5866,,0.1043,-1,,No_positive_propensity_returned,D,simple_assay_model_prediction,Catenin beta-1,SINGLE PROTEIN,Homo sapiens,9606,CTNNB1,P35222,1,single_protein,true,prediction_only,Pa_minus_Pi_not_probability,not_available,mapped_human_target,https://way2drug.com/passtargets/
Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,30,Thromboxane-A synthase,CHEMBL1835,CHEMBL1835,,0.1032,-1,,No_positive_propensity_returned,D,simple_assay_model_prediction,Thromboxane-A synthase,SINGLE PROTEIN,Homo sapiens,9606,TBXAS1,P24557,1,single_protein,true,prediction_only,Pa_minus_Pi_not_probability,not_available,mapped_human_target,https://way2drug.com/passtargets/
Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,31,Transcription factor p65,CHEMBL5533,CHEMBL5533,,0.0966,-1,,No_positive_propensity_returned,I,complex_assay_model_prediction,Transcription factor p65,SINGLE PROTEIN,Homo sapiens,9606,RELA,Q04206,1,single_protein,true,prediction_only,Pa_minus_Pi_not_probability,not_available,mapped_human_target,https://way2drug.com/passtargets/
Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,32,5'-nucleotidase,CHEMBL5957,CHEMBL5957,,0.0897,-1,,No_positive_propensity_returned,D,simple_assay_model_prediction,5'-nucleotidase,SINGLE PROTEIN,Homo sapiens,9606,NT5E,P21589,1,single_protein,true,prediction_only,Pa_minus_Pi_not_probability,not_available,mapped_human_target,https://way2drug.com/passtargets/
Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,33,DNA (cytosine-5)-methyltransferase 1,CHEMBL1993,CHEMBL1993,,0.0879,-1,,No_positive_propensity_returned,I,complex_assay_model_prediction,DNA (cytosine-5)-methyltransferase 1,SINGLE PROTEIN,Homo sapiens,9606,DNMT1,P26358,1,single_protein,true,prediction_only,Pa_minus_Pi_not_probability,not_available,mapped_human_target,https://way2drug.com/passtargets/
Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,34,G-protein coupled bile acid receptor 1,CHEMBL5409,CHEMBL5409,,0.0863,-1,,No_positive_propensity_returned,D,simple_assay_model_prediction,G-protein coupled bile acid receptor 1,SINGLE PROTEIN,Homo sapiens,9606,GPBAR1,Q8TDU6,1,single_protein,true,prediction_only,Pa_minus_Pi_not_probability,not_available,mapped_human_target,https://way2drug.com/passtargets/
Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,35,Serine/threonine-protein kinase 25,CHEMBL5552,CHEMBL5552,,0.0854,-1,,No_positive_propensity_returned,D,simple_assay_model_prediction,Serine/threonine-protein kinase 25,SINGLE PROTEIN,Homo sapiens,9606,STK25,O00506,1,single_protein,true,prediction_only,Pa_minus_Pi_not_probability,not_available,mapped_human_target,https://way2drug.com/passtargets/
Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,36,Protein kinase C gamma type,CHEMBL2938,CHEMBL2938,,0.085,-1,,No_positive_propensity_returned,D,simple_assay_model_prediction,Protein kinase C gamma type,SINGLE PROTEIN,Homo sapiens,9606,PRKCG,P05129,1,single_protein,true,prediction_only,Pa_minus_Pi_not_probability,not_available,mapped_human_target,https://way2drug.com/passtargets/
Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,37,Bis(5'-adenosyl)-triphosphatase,CHEMBL1795151,CHEMBL1795151,,0.0849,-1,,No_positive_propensity_returned,D,simple_assay_model_prediction,Bis(5'-adenosyl)-triphosphatase,SINGLE PROTEIN,Homo sapiens,9606,FHIT,P49789,1,single_protein,true,prediction_only,Pa_minus_Pi_not_probability,not_available,mapped_human_target,https://way2drug.com/passtargets/
Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,38,Nuclear receptor subfamily 4 group A member 2,CHEMBL5002,CHEMBL5002,,0.0841,-1,,No_positive_propensity_returned,D,simple_assay_model_prediction,Nuclear receptor subfamily 4 group A member 2,SINGLE PROTEIN,Homo sapiens,9606,NR4A2,P43354,1,single_protein,true,prediction_only,Pa_minus_Pi_not_probability,not_available,mapped_human_target,https://way2drug.com/passtargets/
Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,39,Sphingomyelin phosphodiesterase,CHEMBL2760,CHEMBL2760,,0.0808,-1,,No_positive_propensity_returned,I,complex_assay_model_prediction,Sphingomyelin phosphodiesterase,SINGLE PROTEIN,Homo sapiens,9606,SMPD1,P17405,1,single_protein,true,prediction_only,Pa_minus_Pi_not_probability,not_available,mapped_human_target,https://way2drug.com/passtargets/
Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,40,Cyclin-dependent kinase 19,CHEMBL6002,CHEMBL6002,,0.0807,-1,,No_positive_propensity_returned,D,simple_assay_model_prediction,Cyclin-dependent kinase 19,SINGLE PROTEIN,Homo sapiens,9606,CDK19,Q9BWU1,1,single_protein,true,prediction_only,Pa_minus_Pi_not_probability,not_available,mapped_human_target,https://way2drug.com/passtargets/
Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,41,Protein kinase C alpha type,CHEMBL299,CHEMBL299,,0.0798,-1,,No_positive_propensity_returned,D,simple_assay_model_prediction,Protein kinase C alpha type,SINGLE PROTEIN,Homo sapiens,9606,PRKCA,P17252,1,single_protein,true,prediction_only,Pa_minus_Pi_not_probability,not_available,mapped_human_target,https://way2drug.com/passtargets/
Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,42,Pyruvate kinase PKM,CHEMBL1075189,CHEMBL1075189,,0.0789,-1,,No_positive_propensity_returned,D,simple_assay_model_prediction,Pyruvate kinase PKM,SINGLE PROTEIN,Homo sapiens,9606,PKM,P14618,1,single_protein,true,prediction_only,Pa_minus_Pi_not_probability,not_available,mapped_human_target,https://way2drug.com/passtargets/
Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,43,Interleukin-2,CHEMBL5880,CHEMBL5880,,0.0778,-1,,No_positive_propensity_returned,D,simple_assay_model_prediction,Interleukin-2,SINGLE PROTEIN,Homo sapiens,9606,IL2,P60568,1,single_protein,true,prediction_only,Pa_minus_Pi_not_probability,not_available,mapped_human_target,https://way2drug.com/passtargets/
Bilobalide,73581,PASS Targets,PASS Targets web; ChEMBL v36; February 2026 update,2026-07-14,44,Pancreatic triacylglycerol lipase,CHEMBL1812,CHEMBL1812,,0.076,-1,,No_positive_propensity_returned,D,simple_assay_model_prediction,Pancreatic triacylglycerol lipase,SINGLE PROTEIN,Homo sapiens,9606,PNLIP,P16233,1,single_protein,true,prediction_only,Pa_minus_Pi_not_probability,not_available,mapped_human_target,https://way2drug.com/passtargets/
