Source_Record_No,Compound_ID_Raw,Compound_Name,PubChem_CID,Original_SMILES,Prepared_SMILES,Structure_Identity_Check,UniProt_Accession,Protein_Name,Protein_Family,Gene_Symbol,Entrez_Gene_ID_Raw,Entrez_Gene_ID,Organism,Tax_ID,NetInfer_Score,Rank_Raw,Prediction_Rank,Record_Class,Prediction_Included,Rank_Layer,Evidence_Status,Recommendation_For_Merge,Score_Interpretation,QC_Note,Method,Network,Fingerprint,Alpha,Beta,Gamma,Delta,Epsilon,Diffusion_k,Requested_Predictions
21,1,Bilobalide,73581,CC(C)(C)[C@@]1(C[C@H]2[C@@]3([C@]14[C@H](C(=O)O[C@H]4OC3=O)O)CC(=O)O2)O,O=C1O[C@@H]2[C@@]3(C1)C(=O)O[C@H]1[C@]3([C@](C2)(O)C(C)(C)C)[C@@H](O)C(=O)O1,Both SMILES resolved to PubChem CID 73581 by PUG REST fastidentity (2026-07-14),P42330,"Aldo-keto reductase family 1 member C3 (EC 1.-.-.-) (17-beta-hydroxysteroid dehydrogenase type 5) (17-beta-HSD 5) (3-alpha-HSD type II, brain) (3-alpha-hydroxysteroid dehydrogenase type 2) (3-alpha-HSD type 2) (EC 1.1.1.357) (Chlordecone reductase homolog HAKRb) (Dihydrodiol dehydrogenase 3) (DD-3) (DD3) (Dihydrodiol dehydrogenase type I) (HA1753) (Indanol dehydrogenase) (EC 1.1.1.112) (Prostaglandin F synthase) (PGFS) (EC 1.1.1.188) (Testosterone 17-beta-dehydrogenase 5) (EC 1.1.1.239) (EC 1.1.1.64) (Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase) (EC 1.3.1.20)",Aldo/keto reductase family,AKR1C3,8644;,8644,Homo sapiens (Human),9606,1.2405,21,21,NetInfer_Prediction,True,Rank21_50_extended,prediction_only,Include_as_NetInfer_prediction,"wSDTNBI ranking score; not probability, confidence, affinity, or IC50",,wSDTNBI,Global DTI network (version 2020),"Morgan fingerprint, FCFP_4-like (radius=2, useFeatures=True)",0.4,0.2,-0.5,20,4,2,50
22,1,Bilobalide,73581,CC(C)(C)[C@@]1(C[C@H]2[C@@]3([C@]14[C@H](C(=O)O[C@H]4OC3=O)O)CC(=O)O2)O,O=C1O[C@@H]2[C@@]3(C1)C(=O)O[C@H]1[C@]3([C@](C2)(O)C(C)(C)C)[C@@H](O)C(=O)O1,Both SMILES resolved to PubChem CID 73581 by PUG REST fastidentity (2026-07-14),Q15393,Splicing factor 3B subunit 3 (Pre-mRNA-splicing factor SF3b 130 kDa subunit) (SF3b130) (STAF130) (Spliceosome-associated protein 130) (SAP 130),RSE1 family,SF3B3,23450;,23450,Homo sapiens (Human),9606,1.23659,22,22,NetInfer_Prediction,True,Rank21_50_extended,prediction_only,Include_as_NetInfer_prediction,"wSDTNBI ranking score; not probability, confidence, affinity, or IC50",,wSDTNBI,Global DTI network (version 2020),"Morgan fingerprint, FCFP_4-like (radius=2, useFeatures=True)",0.4,0.2,-0.5,20,4,2,50
23,1,Bilobalide,73581,CC(C)(C)[C@@]1(C[C@H]2[C@@]3([C@]14[C@H](C(=O)O[C@H]4OC3=O)O)CC(=O)O2)O,O=C1O[C@@H]2[C@@]3(C1)C(=O)O[C@H]1[C@]3([C@](C2)(O)C(C)(C)C)[C@@H](O)C(=O)O1,Both SMILES resolved to PubChem CID 73581 by PUG REST fastidentity (2026-07-14),P00918,Carbonic anhydrase 2 (EC 4.2.1.1) (Carbonate dehydratase II) (Carbonic anhydrase C) (CAC) (Carbonic anhydrase II) (CA-II),Alpha-carbonic anhydrase family,CA2,760;,760,Homo sapiens (Human),9606,1.23135,23,23,NetInfer_Prediction,True,Rank21_50_extended,prediction_only,Include_as_NetInfer_prediction,"wSDTNBI ranking score; not probability, confidence, affinity, or IC50",,wSDTNBI,Global DTI network (version 2020),"Morgan fingerprint, FCFP_4-like (radius=2, useFeatures=True)",0.4,0.2,-0.5,20,4,2,50
24,1,Bilobalide,73581,CC(C)(C)[C@@]1(C[C@H]2[C@@]3([C@]14[C@H](C(=O)O[C@H]4OC3=O)O)CC(=O)O2)O,O=C1O[C@@H]2[C@@]3(C1)C(=O)O[C@H]1[C@]3([C@](C2)(O)C(C)(C)C)[C@@H](O)C(=O)O1,Both SMILES resolved to PubChem CID 73581 by PUG REST fastidentity (2026-07-14),Q12809,Potassium voltage-gated channel subfamily H member 2 (Eag homolog) (Ether-a-go-go-related gene potassium channel 1) (ERG-1) (Eag-related protein 1) (Ether-a-go-go-related protein 1) (H-ERG) (hERG-1) (hERG1) (Voltage-gated potassium channel subunit Kv11.1),"Potassium channel family, H (Eag) (TC 1.A.1.20) subfamily, Kv11.1/KCNH2 sub-subfamily",KCNH2,3757;,3757,Homo sapiens (Human),9606,1.20138,24,24,NetInfer_Prediction,True,Rank21_50_extended,prediction_only,Include_as_NetInfer_prediction,"wSDTNBI ranking score; not probability, confidence, affinity, or IC50",,wSDTNBI,Global DTI network (version 2020),"Morgan fingerprint, FCFP_4-like (radius=2, useFeatures=True)",0.4,0.2,-0.5,20,4,2,50
25,1,Bilobalide,73581,CC(C)(C)[C@@]1(C[C@H]2[C@@]3([C@]14[C@H](C(=O)O[C@H]4OC3=O)O)CC(=O)O2)O,O=C1O[C@@H]2[C@@]3(C1)C(=O)O[C@H]1[C@]3([C@](C2)(O)C(C)(C)C)[C@@H](O)C(=O)O1,Both SMILES resolved to PubChem CID 73581 by PUG REST fastidentity (2026-07-14),P14416,D(2) dopamine receptor (Dopamine D2 receptor),G-protein coupled receptor 1 family,DRD2,1813;,1813,Homo sapiens (Human),9606,1.18635,25,25,NetInfer_Prediction,True,Rank21_50_extended,prediction_only,Include_as_NetInfer_prediction,"wSDTNBI ranking score; not probability, confidence, affinity, or IC50",,wSDTNBI,Global DTI network (version 2020),"Morgan fingerprint, FCFP_4-like (radius=2, useFeatures=True)",0.4,0.2,-0.5,20,4,2,50
26,1,Bilobalide,73581,CC(C)(C)[C@@]1(C[C@H]2[C@@]3([C@]14[C@H](C(=O)O[C@H]4OC3=O)O)CC(=O)O2)O,O=C1O[C@@H]2[C@@]3(C1)C(=O)O[C@H]1[C@]3([C@](C2)(O)C(C)(C)C)[C@@H](O)C(=O)O1,Both SMILES resolved to PubChem CID 73581 by PUG REST fastidentity (2026-07-14),P17252,Protein kinase C alpha type (PKC-A) (PKC-alpha) (EC 2.7.11.13),"Protein kinase superfamily, AGC Ser/Thr protein kinase family, PKC subfamily",PRKCA,5578;,5578,Homo sapiens (Human),9606,1.17691,26,26,NetInfer_Prediction,True,Rank21_50_extended,prediction_only,Include_as_NetInfer_prediction,"wSDTNBI ranking score; not probability, confidence, affinity, or IC50",,wSDTNBI,Global DTI network (version 2020),"Morgan fingerprint, FCFP_4-like (radius=2, useFeatures=True)",0.4,0.2,-0.5,20,4,2,50
27,1,Bilobalide,73581,CC(C)(C)[C@@]1(C[C@H]2[C@@]3([C@]14[C@H](C(=O)O[C@H]4OC3=O)O)CC(=O)O2)O,O=C1O[C@@H]2[C@@]3(C1)C(=O)O[C@H]1[C@]3([C@](C2)(O)C(C)(C)C)[C@@H](O)C(=O)O1,Both SMILES resolved to PubChem CID 73581 by PUG REST fastidentity (2026-07-14),Q13887,Krueppel-like factor 5 (Basic transcription element-binding protein 2) (BTE-binding protein 2) (Colon krueppel-like factor) (GC-box-binding protein 2) (Intestinal-enriched krueppel-like factor) (Transcription factor BTEB2),Krueppel C2H2-type zinc-finger protein family,KLF5,688;,688,Homo sapiens (Human),9606,1.1595,27,27,NetInfer_Prediction,True,Rank21_50_extended,prediction_only,Include_as_NetInfer_prediction,"wSDTNBI ranking score; not probability, confidence, affinity, or IC50",,wSDTNBI,Global DTI network (version 2020),"Morgan fingerprint, FCFP_4-like (radius=2, useFeatures=True)",0.4,0.2,-0.5,20,4,2,50
28,1,Bilobalide,73581,CC(C)(C)[C@@]1(C[C@H]2[C@@]3([C@]14[C@H](C(=O)O[C@H]4OC3=O)O)CC(=O)O2)O,O=C1O[C@@H]2[C@@]3(C1)C(=O)O[C@H]1[C@]3([C@](C2)(O)C(C)(C)C)[C@@H](O)C(=O)O1,Both SMILES resolved to PubChem CID 73581 by PUG REST fastidentity (2026-07-14),P06276,Cholinesterase (EC 3.1.1.8) (Acylcholine acylhydrolase) (Butyrylcholine esterase) (Choline esterase II) (Pseudocholinesterase),Type-B carboxylesterase/lipase family,BCHE,590;,590,Homo sapiens (Human),9606,1.15026,28,28,NetInfer_Prediction,True,Rank21_50_extended,prediction_only,Include_as_NetInfer_prediction,"wSDTNBI ranking score; not probability, confidence, affinity, or IC50",,wSDTNBI,Global DTI network (version 2020),"Morgan fingerprint, FCFP_4-like (radius=2, useFeatures=True)",0.4,0.2,-0.5,20,4,2,50
29,1,Bilobalide,73581,CC(C)(C)[C@@]1(C[C@H]2[C@@]3([C@]14[C@H](C(=O)O[C@H]4OC3=O)O)CC(=O)O2)O,O=C1O[C@@H]2[C@@]3(C1)C(=O)O[C@H]1[C@]3([C@](C2)(O)C(C)(C)C)[C@@H](O)C(=O)O1,Both SMILES resolved to PubChem CID 73581 by PUG REST fastidentity (2026-07-14),P16233,Pancreatic triacylglycerol lipase (PL) (PTL) (Pancreatic lipase) (EC 3.1.1.3),"AB hydrolase superfamily, Lipase family",PNLIP,5406;,5406,Homo sapiens (Human),9606,1.111,29,29,NetInfer_Prediction,True,Rank21_50_extended,prediction_only,Include_as_NetInfer_prediction,"wSDTNBI ranking score; not probability, confidence, affinity, or IC50",,wSDTNBI,Global DTI network (version 2020),"Morgan fingerprint, FCFP_4-like (radius=2, useFeatures=True)",0.4,0.2,-0.5,20,4,2,50
30,1,Bilobalide,73581,CC(C)(C)[C@@]1(C[C@H]2[C@@]3([C@]14[C@H](C(=O)O[C@H]4OC3=O)O)CC(=O)O2)O,O=C1O[C@@H]2[C@@]3(C1)C(=O)O[C@H]1[C@]3([C@](C2)(O)C(C)(C)C)[C@@H](O)C(=O)O1,Both SMILES resolved to PubChem CID 73581 by PUG REST fastidentity (2026-07-14),P41143,Delta-type opioid receptor (D-OR-1) (DOR-1),G-protein coupled receptor 1 family,OPRD1,4985;,4985,Homo sapiens (Human),9606,0.996497,30,30,NetInfer_Prediction,True,Rank21_50_extended,prediction_only,Include_as_NetInfer_prediction,"wSDTNBI ranking score; not probability, confidence, affinity, or IC50",,wSDTNBI,Global DTI network (version 2020),"Morgan fingerprint, FCFP_4-like (radius=2, useFeatures=True)",0.4,0.2,-0.5,20,4,2,50
31,1,Bilobalide,73581,CC(C)(C)[C@@]1(C[C@H]2[C@@]3([C@]14[C@H](C(=O)O[C@H]4OC3=O)O)CC(=O)O2)O,O=C1O[C@@H]2[C@@]3(C1)C(=O)O[C@H]1[C@]3([C@](C2)(O)C(C)(C)C)[C@@H](O)C(=O)O1,Both SMILES resolved to PubChem CID 73581 by PUG REST fastidentity (2026-07-14),Q16236,"Nuclear factor erythroid 2-related factor 2 (NF-E2-related factor 2) (NFE2-related factor 2) (HEBP1) (Nuclear factor, erythroid derived 2, like 2)","BZIP family, CNC subfamily",NFE2L2,4780;,4780,Homo sapiens (Human),9606,0.994384,31,31,NetInfer_Prediction,True,Rank21_50_extended,prediction_only,Include_as_NetInfer_prediction,"wSDTNBI ranking score; not probability, confidence, affinity, or IC50",,wSDTNBI,Global DTI network (version 2020),"Morgan fingerprint, FCFP_4-like (radius=2, useFeatures=True)",0.4,0.2,-0.5,20,4,2,50
32,1,Bilobalide,73581,CC(C)(C)[C@@]1(C[C@H]2[C@@]3([C@]14[C@H](C(=O)O[C@H]4OC3=O)O)CC(=O)O2)O,O=C1O[C@@H]2[C@@]3(C1)C(=O)O[C@H]1[C@]3([C@](C2)(O)C(C)(C)C)[C@@H](O)C(=O)O1,Both SMILES resolved to PubChem CID 73581 by PUG REST fastidentity (2026-07-14),Q96T53,Ghrelin O-acyltransferase (EC 2.3.1.-) (Membrane-bound O-acyltransferase domain-containing protein 4) (O-acyltransferase domain-containing protein 4),Membrane-bound acyltransferase family,MBOAT4,619373;,619373,Homo sapiens (Human),9606,0.991444,32,32,NetInfer_Prediction,True,Rank21_50_extended,prediction_only,Include_as_NetInfer_prediction,"wSDTNBI ranking score; not probability, confidence, affinity, or IC50",,wSDTNBI,Global DTI network (version 2020),"Morgan fingerprint, FCFP_4-like (radius=2, useFeatures=True)",0.4,0.2,-0.5,20,4,2,50
33,1,Bilobalide,73581,CC(C)(C)[C@@]1(C[C@H]2[C@@]3([C@]14[C@H](C(=O)O[C@H]4OC3=O)O)CC(=O)O2)O,O=C1O[C@@H]2[C@@]3(C1)C(=O)O[C@H]1[C@]3([C@](C2)(O)C(C)(C)C)[C@@H](O)C(=O)O1,Both SMILES resolved to PubChem CID 73581 by PUG REST fastidentity (2026-07-14),P31639,Sodium/glucose cotransporter 2 (Na(+)/glucose cotransporter 2) (Low affinity sodium-glucose cotransporter) (Solute carrier family 5 member 2),Sodium:solute symporter (SSF) (TC 2.A.21) family,SLC5A2,6524;,6524,Homo sapiens (Human),9606,0.981711,33,33,NetInfer_Prediction,True,Rank21_50_extended,prediction_only,Include_as_NetInfer_prediction,"wSDTNBI ranking score; not probability, confidence, affinity, or IC50",,wSDTNBI,Global DTI network (version 2020),"Morgan fingerprint, FCFP_4-like (radius=2, useFeatures=True)",0.4,0.2,-0.5,20,4,2,50
34,1,Bilobalide,73581,CC(C)(C)[C@@]1(C[C@H]2[C@@]3([C@]14[C@H](C(=O)O[C@H]4OC3=O)O)CC(=O)O2)O,O=C1O[C@@H]2[C@@]3(C1)C(=O)O[C@H]1[C@]3([C@](C2)(O)C(C)(C)C)[C@@H](O)C(=O)O1,Both SMILES resolved to PubChem CID 73581 by PUG REST fastidentity (2026-07-14),O75388,Probable G-protein coupled receptor 32,G-protein coupled receptor 1 family,GPR32,2854;,2854,Homo sapiens (Human),9606,0.97903,34,34,NetInfer_Prediction,True,Rank21_50_extended,prediction_only,Include_as_NetInfer_prediction,"wSDTNBI ranking score; not probability, confidence, affinity, or IC50",,wSDTNBI,Global DTI network (version 2020),"Morgan fingerprint, FCFP_4-like (radius=2, useFeatures=True)",0.4,0.2,-0.5,20,4,2,50
35,1,Bilobalide,73581,CC(C)(C)[C@@]1(C[C@H]2[C@@]3([C@]14[C@H](C(=O)O[C@H]4OC3=O)O)CC(=O)O2)O,O=C1O[C@@H]2[C@@]3(C1)C(=O)O[C@H]1[C@]3([C@](C2)(O)C(C)(C)C)[C@@H](O)C(=O)O1,Both SMILES resolved to PubChem CID 73581 by PUG REST fastidentity (2026-07-14),P20309,Muscarinic acetylcholine receptor M3,"G-protein coupled receptor 1 family, Muscarinic acetylcholine receptor subfamily, CHRM3 sub-subfamily",CHRM3,1131;,1131,Homo sapiens (Human),9606,0.966866,35,35,NetInfer_Prediction,True,Rank21_50_extended,prediction_only,Include_as_NetInfer_prediction,"wSDTNBI ranking score; not probability, confidence, affinity, or IC50",,wSDTNBI,Global DTI network (version 2020),"Morgan fingerprint, FCFP_4-like (radius=2, useFeatures=True)",0.4,0.2,-0.5,20,4,2,50
36,1,Bilobalide,73581,CC(C)(C)[C@@]1(C[C@H]2[C@@]3([C@]14[C@H](C(=O)O[C@H]4OC3=O)O)CC(=O)O2)O,O=C1O[C@@H]2[C@@]3(C1)C(=O)O[C@H]1[C@]3([C@](C2)(O)C(C)(C)C)[C@@H](O)C(=O)O1,Both SMILES resolved to PubChem CID 73581 by PUG REST fastidentity (2026-07-14),Q14330,N-arachidonyl glycine receptor (NAGly receptor) (G-protein coupled receptor 18),G-protein coupled receptor 1 family,GPR18,2841;,2841,Homo sapiens (Human),9606,0.960422,36,36,NetInfer_Prediction,True,Rank21_50_extended,prediction_only,Include_as_NetInfer_prediction,"wSDTNBI ranking score; not probability, confidence, affinity, or IC50",,wSDTNBI,Global DTI network (version 2020),"Morgan fingerprint, FCFP_4-like (radius=2, useFeatures=True)",0.4,0.2,-0.5,20,4,2,50
37,1,Bilobalide,73581,CC(C)(C)[C@@]1(C[C@H]2[C@@]3([C@]14[C@H](C(=O)O[C@H]4OC3=O)O)CC(=O)O2)O,O=C1O[C@@H]2[C@@]3(C1)C(=O)O[C@H]1[C@]3([C@](C2)(O)C(C)(C)C)[C@@H](O)C(=O)O1,Both SMILES resolved to PubChem CID 73581 by PUG REST fastidentity (2026-07-14),Q9NUW8,Tyrosyl-DNA phosphodiesterase 1 (Tyr-DNA phosphodiesterase 1) (EC 3.1.4.-),Tyrosyl-DNA phosphodiesterase family,TDP1,55775;,55775,Homo sapiens (Human),9606,0.889927,37,37,NetInfer_Prediction,True,Rank21_50_extended,prediction_only,Include_as_NetInfer_prediction,"wSDTNBI ranking score; not probability, confidence, affinity, or IC50",,wSDTNBI,Global DTI network (version 2020),"Morgan fingerprint, FCFP_4-like (radius=2, useFeatures=True)",0.4,0.2,-0.5,20,4,2,50
38,1,Bilobalide,73581,CC(C)(C)[C@@]1(C[C@H]2[C@@]3([C@]14[C@H](C(=O)O[C@H]4OC3=O)O)CC(=O)O2)O,O=C1O[C@@H]2[C@@]3(C1)C(=O)O[C@H]1[C@]3([C@](C2)(O)C(C)(C)C)[C@@H](O)C(=O)O1,Both SMILES resolved to PubChem CID 73581 by PUG REST fastidentity (2026-07-14),Q9UBY5,Lysophosphatidic acid receptor 3 (LPA receptor 3) (LPA-3) (Lysophosphatidic acid receptor Edg-7),G-protein coupled receptor 1 family,LPAR3,23566;,23566,Homo sapiens (Human),9606,0.878707,38,38,NetInfer_Prediction,True,Rank21_50_extended,prediction_only,Include_as_NetInfer_prediction,"wSDTNBI ranking score; not probability, confidence, affinity, or IC50",,wSDTNBI,Global DTI network (version 2020),"Morgan fingerprint, FCFP_4-like (radius=2, useFeatures=True)",0.4,0.2,-0.5,20,4,2,50
39,1,Bilobalide,73581,CC(C)(C)[C@@]1(C[C@H]2[C@@]3([C@]14[C@H](C(=O)O[C@H]4OC3=O)O)CC(=O)O2)O,O=C1O[C@@H]2[C@@]3(C1)C(=O)O[C@H]1[C@]3([C@](C2)(O)C(C)(C)C)[C@@H](O)C(=O)O1,Both SMILES resolved to PubChem CID 73581 by PUG REST fastidentity (2026-07-14),P29466,Caspase-1 (CASP-1) (EC 3.4.22.36) (Interleukin-1 beta convertase) (IL-1BC) (Interleukin-1 beta-converting enzyme) (ICE) (IL-1 beta-converting enzyme) (p45) [Cleaved into: Caspase-1 subunit p20; Caspase-1 subunit p10],Peptidase C14A family,CASP1,834;,834,Homo sapiens (Human),9606,0.841848,39,39,NetInfer_Prediction,True,Rank21_50_extended,prediction_only,Include_as_NetInfer_prediction,"wSDTNBI ranking score; not probability, confidence, affinity, or IC50",,wSDTNBI,Global DTI network (version 2020),"Morgan fingerprint, FCFP_4-like (radius=2, useFeatures=True)",0.4,0.2,-0.5,20,4,2,50
40,1,Bilobalide,73581,CC(C)(C)[C@@]1(C[C@H]2[C@@]3([C@]14[C@H](C(=O)O[C@H]4OC3=O)O)CC(=O)O2)O,O=C1O[C@@H]2[C@@]3(C1)C(=O)O[C@H]1[C@]3([C@](C2)(O)C(C)(C)C)[C@@H](O)C(=O)O1,Both SMILES resolved to PubChem CID 73581 by PUG REST fastidentity (2026-07-14),P08912,Muscarinic acetylcholine receptor M5,"G-protein coupled receptor 1 family, Muscarinic acetylcholine receptor subfamily, CHRM5 sub-subfamily",CHRM5,1133;,1133,Homo sapiens (Human),9606,0.835223,40,40,NetInfer_Prediction,True,Rank21_50_extended,prediction_only,Include_as_NetInfer_prediction,"wSDTNBI ranking score; not probability, confidence, affinity, or IC50",,wSDTNBI,Global DTI network (version 2020),"Morgan fingerprint, FCFP_4-like (radius=2, useFeatures=True)",0.4,0.2,-0.5,20,4,2,50
41,1,Bilobalide,73581,CC(C)(C)[C@@]1(C[C@H]2[C@@]3([C@]14[C@H](C(=O)O[C@H]4OC3=O)O)CC(=O)O2)O,O=C1O[C@@H]2[C@@]3(C1)C(=O)O[C@H]1[C@]3([C@](C2)(O)C(C)(C)C)[C@@H](O)C(=O)O1,Both SMILES resolved to PubChem CID 73581 by PUG REST fastidentity (2026-07-14),P14174,Macrophage migration inhibitory factor (MIF) (EC 5.3.2.1) (Glycosylation-inhibiting factor) (GIF) (L-dopachrome isomerase) (L-dopachrome tautomerase) (EC 5.3.3.12) (Phenylpyruvate tautomerase),MIF family,MIF,4282;,4282,Homo sapiens (Human),9606,0.827365,41,41,NetInfer_Prediction,True,Rank21_50_extended,prediction_only,Include_as_NetInfer_prediction,"wSDTNBI ranking score; not probability, confidence, affinity, or IC50",,wSDTNBI,Global DTI network (version 2020),"Morgan fingerprint, FCFP_4-like (radius=2, useFeatures=True)",0.4,0.2,-0.5,20,4,2,50
42,1,Bilobalide,73581,CC(C)(C)[C@@]1(C[C@H]2[C@@]3([C@]14[C@H](C(=O)O[C@H]4OC3=O)O)CC(=O)O2)O,O=C1O[C@@H]2[C@@]3(C1)C(=O)O[C@H]1[C@]3([C@](C2)(O)C(C)(C)C)[C@@H](O)C(=O)O1,Both SMILES resolved to PubChem CID 73581 by PUG REST fastidentity (2026-07-14),Q06710,Paired box protein Pax-8,NA,PAX8,7849;,7849,Homo sapiens (Human),9606,0.816687,42,42,NetInfer_Prediction,True,Rank21_50_extended,prediction_only,Include_as_NetInfer_prediction,"wSDTNBI ranking score; not probability, confidence, affinity, or IC50",Protein family absent in platform export; retained as NA,wSDTNBI,Global DTI network (version 2020),"Morgan fingerprint, FCFP_4-like (radius=2, useFeatures=True)",0.4,0.2,-0.5,20,4,2,50
43,1,Bilobalide,73581,CC(C)(C)[C@@]1(C[C@H]2[C@@]3([C@]14[C@H](C(=O)O[C@H]4OC3=O)O)CC(=O)O2)O,O=C1O[C@@H]2[C@@]3(C1)C(=O)O[C@H]1[C@]3([C@](C2)(O)C(C)(C)C)[C@@H](O)C(=O)O1,Both SMILES resolved to PubChem CID 73581 by PUG REST fastidentity (2026-07-14),P23415,Glycine receptor subunit alpha-1 (Glycine receptor 48 kDa subunit) (Glycine receptor strychnine-binding subunit),"Ligand-gated ion channel (TC 1.A.9) family, Glycine receptor (TC 1.A.9.3) subfamily, GLRA1 sub-subfamily",GLRA1,2741;,2741,Homo sapiens (Human),9606,0.81402,43,43,NetInfer_Prediction,True,Rank21_50_extended,prediction_only,Include_as_NetInfer_prediction,"wSDTNBI ranking score; not probability, confidence, affinity, or IC50",,wSDTNBI,Global DTI network (version 2020),"Morgan fingerprint, FCFP_4-like (radius=2, useFeatures=True)",0.4,0.2,-0.5,20,4,2,50
44,1,Bilobalide,73581,CC(C)(C)[C@@]1(C[C@H]2[C@@]3([C@]14[C@H](C(=O)O[C@H]4OC3=O)O)CC(=O)O2)O,O=C1O[C@@H]2[C@@]3(C1)C(=O)O[C@H]1[C@]3([C@](C2)(O)C(C)(C)C)[C@@H](O)C(=O)O1,Both SMILES resolved to PubChem CID 73581 by PUG REST fastidentity (2026-07-14),O75688,Protein phosphatase 1B (EC 3.1.3.16) (Protein phosphatase 2C isoform beta) (PP2C-beta),PP2C family,PPM1B,5495;,5495,Homo sapiens (Human),9606,0.810353,44,44,NetInfer_Prediction,True,Rank21_50_extended,prediction_only,Include_as_NetInfer_prediction,"wSDTNBI ranking score; not probability, confidence, affinity, or IC50",,wSDTNBI,Global DTI network (version 2020),"Morgan fingerprint, FCFP_4-like (radius=2, useFeatures=True)",0.4,0.2,-0.5,20,4,2,50
45,1,Bilobalide,73581,CC(C)(C)[C@@]1(C[C@H]2[C@@]3([C@]14[C@H](C(=O)O[C@H]4OC3=O)O)CC(=O)O2)O,O=C1O[C@@H]2[C@@]3(C1)C(=O)O[C@H]1[C@]3([C@](C2)(O)C(C)(C)C)[C@@H](O)C(=O)O1,Both SMILES resolved to PubChem CID 73581 by PUG REST fastidentity (2026-07-14),P21917,D(4) dopamine receptor (D(2C) dopamine receptor) (Dopamine D4 receptor),G-protein coupled receptor 1 family,DRD4,1815;,1815,Homo sapiens (Human),9606,0.806715,45,45,NetInfer_Prediction,True,Rank21_50_extended,prediction_only,Include_as_NetInfer_prediction,"wSDTNBI ranking score; not probability, confidence, affinity, or IC50",,wSDTNBI,Global DTI network (version 2020),"Morgan fingerprint, FCFP_4-like (radius=2, useFeatures=True)",0.4,0.2,-0.5,20,4,2,50
46,1,Bilobalide,73581,CC(C)(C)[C@@]1(C[C@H]2[C@@]3([C@]14[C@H](C(=O)O[C@H]4OC3=O)O)CC(=O)O2)O,O=C1O[C@@H]2[C@@]3(C1)C(=O)O[C@H]1[C@]3([C@](C2)(O)C(C)(C)C)[C@@H](O)C(=O)O1,Both SMILES resolved to PubChem CID 73581 by PUG REST fastidentity (2026-07-14),P04150,Glucocorticoid receptor (GR) (Nuclear receptor subfamily 3 group C member 1),"Nuclear hormone receptor family, NR3 subfamily",NR3C1,2908;,2908,Homo sapiens (Human),9606,0.804871,46,46,NetInfer_Prediction,True,Rank21_50_extended,prediction_only,Include_as_NetInfer_prediction,"wSDTNBI ranking score; not probability, confidence, affinity, or IC50",,wSDTNBI,Global DTI network (version 2020),"Morgan fingerprint, FCFP_4-like (radius=2, useFeatures=True)",0.4,0.2,-0.5,20,4,2,50
47,1,Bilobalide,73581,CC(C)(C)[C@@]1(C[C@H]2[C@@]3([C@]14[C@H](C(=O)O[C@H]4OC3=O)O)CC(=O)O2)O,O=C1O[C@@H]2[C@@]3(C1)C(=O)O[C@H]1[C@]3([C@](C2)(O)C(C)(C)C)[C@@H](O)C(=O)O1,Both SMILES resolved to PubChem CID 73581 by PUG REST fastidentity (2026-07-14),P43088,Prostaglandin F2-alpha receptor (PGF receptor) (PGF2-alpha receptor) (Prostanoid FP receptor),G-protein coupled receptor 1 family,PTGFR,5737;,5737,Homo sapiens (Human),9606,0.787381,47,47,NetInfer_Prediction,True,Rank21_50_extended,prediction_only,Include_as_NetInfer_prediction,"wSDTNBI ranking score; not probability, confidence, affinity, or IC50",,wSDTNBI,Global DTI network (version 2020),"Morgan fingerprint, FCFP_4-like (radius=2, useFeatures=True)",0.4,0.2,-0.5,20,4,2,50
48,1,Bilobalide,73581,CC(C)(C)[C@@]1(C[C@H]2[C@@]3([C@]14[C@H](C(=O)O[C@H]4OC3=O)O)CC(=O)O2)O,O=C1O[C@@H]2[C@@]3(C1)C(=O)O[C@H]1[C@]3([C@](C2)(O)C(C)(C)C)[C@@H](O)C(=O)O1,Both SMILES resolved to PubChem CID 73581 by PUG REST fastidentity (2026-07-14),Q99720,Sigma non-opioid intracellular receptor 1 (Aging-associated gene 8 protein) (SR31747-binding protein) (SR-BP) (Sigma 1-type opioid receptor) (SIG-1R) (Sigma1-receptor) (Sigma1R) (hSigmaR1),ERG2 family,SIGMAR1,10280;,10280,Homo sapiens (Human),9606,0.760891,48,48,NetInfer_Prediction,True,Rank21_50_extended,prediction_only,Include_as_NetInfer_prediction,"wSDTNBI ranking score; not probability, confidence, affinity, or IC50",,wSDTNBI,Global DTI network (version 2020),"Morgan fingerprint, FCFP_4-like (radius=2, useFeatures=True)",0.4,0.2,-0.5,20,4,2,50
