"Compound ID","Compound name","Original SMILES","Prepared SMILES","Target ID","Protein name","Protein family","Gene symbol","Gene ID",Organism,Score,Rank
1,Bilobalide,CC(C)(C)[C@@]1(C[C@H]2[C@@]3([C@]14[C@H](C(=O)O[C@H]4OC3=O)O)CC(=O)O2)O,O=C1O[C@@H]2[C@@]3(C1)C(=O)O[C@H]1[C@]3([C@](C2)(O)C(C)(C)C)[C@@H](O)C(=O)O1,Q9GZZ6,"Neuronal acetylcholine receptor subunit alpha-10 (Nicotinic acetylcholine receptor subunit alpha-10) (NACHR alpha-10)","Ligand-gated ion channel (TC 1.A.9) family, Acetylcholine receptor (TC 1.A.9.1) subfamily, Alpha-10/CHRNA10 sub-subfamily",CHRNA10,57053;,"Homo sapiens (Human)",1.64045,11
1,Bilobalide,CC(C)(C)[C@@]1(C[C@H]2[C@@]3([C@]14[C@H](C(=O)O[C@H]4OC3=O)O)CC(=O)O2)O,O=C1O[C@@H]2[C@@]3(C1)C(=O)O[C@H]1[C@]3([C@](C2)(O)C(C)(C)C)[C@@H](O)C(=O)O1,Q9UGM1,"Neuronal acetylcholine receptor subunit alpha-9 (Nicotinic acetylcholine receptor subunit alpha-9) (NACHR alpha-9)","Ligand-gated ion channel (TC 1.A.9) family, Acetylcholine receptor (TC 1.A.9.1) subfamily, Alpha-9/CHRNA9 sub-subfamily",CHRNA9,55584;,"Homo sapiens (Human)",1.64045,12
1,Bilobalide,CC(C)(C)[C@@]1(C[C@H]2[C@@]3([C@]14[C@H](C(=O)O[C@H]4OC3=O)O)CC(=O)O2)O,O=C1O[C@@H]2[C@@]3(C1)C(=O)O[C@H]1[C@]3([C@](C2)(O)C(C)(C)C)[C@@H](O)C(=O)O1,P04035,"3-hydroxy-3-methylglutaryl-coenzyme A reductase (HMG-CoA reductase) (EC 1.1.1.34)","HMG-CoA reductase family",HMGCR,3156;,"Homo sapiens (Human)",1.60169,13
1,Bilobalide,CC(C)(C)[C@@]1(C[C@H]2[C@@]3([C@]14[C@H](C(=O)O[C@H]4OC3=O)O)CC(=O)O2)O,O=C1O[C@@H]2[C@@]3(C1)C(=O)O[C@H]1[C@]3([C@](C2)(O)C(C)(C)C)[C@@H](O)C(=O)O1,P08842,"Steryl-sulfatase (EC 3.1.6.2) (Arylsulfatase C) (ASC) (Steroid sulfatase) (Steryl-sulfate sulfohydrolase)","Sulfatase family",STS,412;,"Homo sapiens (Human)",1.52669,14
1,Bilobalide,CC(C)(C)[C@@]1(C[C@H]2[C@@]3([C@]14[C@H](C(=O)O[C@H]4OC3=O)O)CC(=O)O2)O,O=C1O[C@@H]2[C@@]3(C1)C(=O)O[C@H]1[C@]3([C@](C2)(O)C(C)(C)C)[C@@H](O)C(=O)O1,P21554,"Cannabinoid receptor 1 (CB-R) (CB1) (CANN6)","G-protein coupled receptor 1 family",CNR1,1268;,"Homo sapiens (Human)",1.47848,15
1,Bilobalide,CC(C)(C)[C@@]1(C[C@H]2[C@@]3([C@]14[C@H](C(=O)O[C@H]4OC3=O)O)CC(=O)O2)O,O=C1O[C@@H]2[C@@]3(C1)C(=O)O[C@H]1[C@]3([C@](C2)(O)C(C)(C)C)[C@@H](O)C(=O)O1,P00797,"Renin (EC 3.4.23.15) (Angiotensinogenase)","Peptidase A1 family",REN,5972;,"Homo sapiens (Human)",1.47225,16
1,Bilobalide,CC(C)(C)[C@@]1(C[C@H]2[C@@]3([C@]14[C@H](C(=O)O[C@H]4OC3=O)O)CC(=O)O2)O,O=C1O[C@@H]2[C@@]3(C1)C(=O)O[C@H]1[C@]3([C@](C2)(O)C(C)(C)C)[C@@H](O)C(=O)O1,P53602,"Diphosphomevalonate decarboxylase (EC 4.1.1.33) (Mevalonate (diphospho)decarboxylase) (MDDase) (Mevalonate pyrophosphate decarboxylase)","Diphosphomevalonate decarboxylase family",MVD,4597;,"Homo sapiens (Human)",1.44222,17
1,Bilobalide,CC(C)(C)[C@@]1(C[C@H]2[C@@]3([C@]14[C@H](C(=O)O[C@H]4OC3=O)O)CC(=O)O2)O,O=C1O[C@@H]2[C@@]3(C1)C(=O)O[C@H]1[C@]3([C@](C2)(O)C(C)(C)C)[C@@H](O)C(=O)O1,Q04760,"Lactoylglutathione lyase (EC 4.4.1.5) (Aldoketomutase) (Glyoxalase I) (Glx I) (Ketone-aldehyde mutase) (Methylglyoxalase) (S-D-lactoylglutathione methylglyoxal lyase)","Glyoxalase I family",GLO1,2739;,"Homo sapiens (Human)",1.38483,18
1,Bilobalide,CC(C)(C)[C@@]1(C[C@H]2[C@@]3([C@]14[C@H](C(=O)O[C@H]4OC3=O)O)CC(=O)O2)O,O=C1O[C@@H]2[C@@]3(C1)C(=O)O[C@H]1[C@]3([C@](C2)(O)C(C)(C)C)[C@@H](O)C(=O)O1,P06401,"Progesterone receptor (PR) (Nuclear receptor subfamily 3 group C member 3)","Nuclear hormone receptor family, NR3 subfamily",PGR,5241;,"Homo sapiens (Human)",1.29916,19
1,Bilobalide,CC(C)(C)[C@@]1(C[C@H]2[C@@]3([C@]14[C@H](C(=O)O[C@H]4OC3=O)O)CC(=O)O2)O,O=C1O[C@@H]2[C@@]3(C1)C(=O)O[C@H]1[C@]3([C@](C2)(O)C(C)(C)C)[C@@H](O)C(=O)O1,O00481,"Butyrophilin subfamily 3 member A1 (CD antigen CD277)","Immunoglobulin superfamily, BTN/MOG family",BTN3A1,11119;,"Homo sapiens (Human)",1.26933,20
1,Bilobalide,CC(C)(C)[C@@]1(C[C@H]2[C@@]3([C@]14[C@H](C(=O)O[C@H]4OC3=O)O)CC(=O)O2)O,O=C1O[C@@H]2[C@@]3(C1)C(=O)O[C@H]1[C@]3([C@](C2)(O)C(C)(C)C)[C@@H](O)C(=O)O1,P42330,"Aldo-keto reductase family 1 member C3 (EC 1.-.-.-) (17-beta-hydroxysteroid dehydrogenase type 5) (17-beta-HSD 5) (3-alpha-HSD type II, brain) (3-alpha-hydroxysteroid dehydrogenase type 2) (3-alpha-HSD type 2) (EC 1.1.1.357) (Chlordecone reductase homolog HAKRb) (Dihydrodiol dehydrogenase 3) (DD-3) (DD3) (Dihydrodiol dehydrogenase type I) (HA1753) (Indanol dehydrogenase) (EC 1.1.1.112) (Prostaglandin F synthase) (PGFS) (EC 1.1.1.188) (Testosterone 17-beta-dehydrogenase 5) (EC 1.1.1.239) (EC 1.1.1.64) (Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase) (EC 1.3.1.20)","Aldo/keto reductase family",AKR1C3,8644;,"Homo sapiens (Human)",1.2405,21
1,Bilobalide,CC(C)(C)[C@@]1(C[C@H]2[C@@]3([C@]14[C@H](C(=O)O[C@H]4OC3=O)O)CC(=O)O2)O,O=C1O[C@@H]2[C@@]3(C1)C(=O)O[C@H]1[C@]3([C@](C2)(O)C(C)(C)C)[C@@H](O)C(=O)O1,Q15393,"Splicing factor 3B subunit 3 (Pre-mRNA-splicing factor SF3b 130 kDa subunit) (SF3b130) (STAF130) (Spliceosome-associated protein 130) (SAP 130)","RSE1 family",SF3B3,23450;,"Homo sapiens (Human)",1.23659,22
