Gene_Symbol,UniProt_Accession,Entrez_Gene_ID,Protein_Name,Protein_Family,NetInfer_Score,Prediction_Rank,Rank_Layer,Organism,Tax_ID,Evidence_Status,Recommendation_For_Merge
AKR1C3,P42330,8644,"Aldo-keto reductase family 1 member C3 (EC 1.-.-.-) (17-beta-hydroxysteroid dehydrogenase type 5) (17-beta-HSD 5) (3-alpha-HSD type II, brain) (3-alpha-hydroxysteroid dehydrogenase type 2) (3-alpha-HSD type 2) (EC 1.1.1.357) (Chlordecone reductase homolog HAKRb) (Dihydrodiol dehydrogenase 3) (DD-3) (DD3) (Dihydrodiol dehydrogenase type I) (HA1753) (Indanol dehydrogenase) (EC 1.1.1.112) (Prostaglandin F synthase) (PGFS) (EC 1.1.1.188) (Testosterone 17-beta-dehydrogenase 5) (EC 1.1.1.239) (EC 1.1.1.64) (Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase) (EC 1.3.1.20)",Aldo/keto reductase family,1.2405,21,Rank21_50_extended,Homo sapiens (Human),9606,prediction_only,Include_as_NetInfer_prediction
SF3B3,Q15393,23450,Splicing factor 3B subunit 3 (Pre-mRNA-splicing factor SF3b 130 kDa subunit) (SF3b130) (STAF130) (Spliceosome-associated protein 130) (SAP 130),RSE1 family,1.23659,22,Rank21_50_extended,Homo sapiens (Human),9606,prediction_only,Include_as_NetInfer_prediction
CA2,P00918,760,Carbonic anhydrase 2 (EC 4.2.1.1) (Carbonate dehydratase II) (Carbonic anhydrase C) (CAC) (Carbonic anhydrase II) (CA-II),Alpha-carbonic anhydrase family,1.23135,23,Rank21_50_extended,Homo sapiens (Human),9606,prediction_only,Include_as_NetInfer_prediction
KCNH2,Q12809,3757,Potassium voltage-gated channel subfamily H member 2 (Eag homolog) (Ether-a-go-go-related gene potassium channel 1) (ERG-1) (Eag-related protein 1) (Ether-a-go-go-related protein 1) (H-ERG) (hERG-1) (hERG1) (Voltage-gated potassium channel subunit Kv11.1),"Potassium channel family, H (Eag) (TC 1.A.1.20) subfamily, Kv11.1/KCNH2 sub-subfamily",1.20138,24,Rank21_50_extended,Homo sapiens (Human),9606,prediction_only,Include_as_NetInfer_prediction
DRD2,P14416,1813,D(2) dopamine receptor (Dopamine D2 receptor),G-protein coupled receptor 1 family,1.18635,25,Rank21_50_extended,Homo sapiens (Human),9606,prediction_only,Include_as_NetInfer_prediction
PRKCA,P17252,5578,Protein kinase C alpha type (PKC-A) (PKC-alpha) (EC 2.7.11.13),"Protein kinase superfamily, AGC Ser/Thr protein kinase family, PKC subfamily",1.17691,26,Rank21_50_extended,Homo sapiens (Human),9606,prediction_only,Include_as_NetInfer_prediction
KLF5,Q13887,688,Krueppel-like factor 5 (Basic transcription element-binding protein 2) (BTE-binding protein 2) (Colon krueppel-like factor) (GC-box-binding protein 2) (Intestinal-enriched krueppel-like factor) (Transcription factor BTEB2),Krueppel C2H2-type zinc-finger protein family,1.1595,27,Rank21_50_extended,Homo sapiens (Human),9606,prediction_only,Include_as_NetInfer_prediction
BCHE,P06276,590,Cholinesterase (EC 3.1.1.8) (Acylcholine acylhydrolase) (Butyrylcholine esterase) (Choline esterase II) (Pseudocholinesterase),Type-B carboxylesterase/lipase family,1.15026,28,Rank21_50_extended,Homo sapiens (Human),9606,prediction_only,Include_as_NetInfer_prediction
PNLIP,P16233,5406,Pancreatic triacylglycerol lipase (PL) (PTL) (Pancreatic lipase) (EC 3.1.1.3),"AB hydrolase superfamily, Lipase family",1.111,29,Rank21_50_extended,Homo sapiens (Human),9606,prediction_only,Include_as_NetInfer_prediction
OPRD1,P41143,4985,Delta-type opioid receptor (D-OR-1) (DOR-1),G-protein coupled receptor 1 family,0.996497,30,Rank21_50_extended,Homo sapiens (Human),9606,prediction_only,Include_as_NetInfer_prediction
