Disease_ID,Disease_Name,Evidence_Class,Source_Database,Gene_Symbol,Ensembl_ID,Target_Name,Overall_Association_Score,Source_Score,Direct_Association,Species,Retrieval_Date
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,COL4A1,ENSG00000187498,collagen type IV alpha 1 chain,0.37862984417067597,0.5802313397189506,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,CPS1,ENSG00000021826,carbamoyl-phosphate synthase 1,0.3753776400649033,0.5931504824137604,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,STXBP5,ENSG00000164506,syntaxin binding protein 5,0.36613799461260216,0.6022691991441282,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,LAMC1,ENSG00000135862,laminin subunit gamma 1,0.3653247927001502,0.5680019588764589,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,ZNF475,ENSG00000250803,zinc finger protein 475,0.36377277995870805,0.5983786006365575,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,PDE4B,ENSG00000184588,phosphodiesterase 4B,0.36237361037604093,0.16982654488398297,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,HTRA1,ENSG00000166033,HtrA serine peptidase 1,0.362346314619579,0.5251676007917639,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,TSKU,ENSG00000182704,"tsukushi, small leucine rich proteoglycan",0.36036030572423466,0.5882058586585149,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,KNG1,ENSG00000113889,kininogen 1,0.35563674907744663,0.5397737440232793,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,HDAC9,ENSG00000048052,histone deacetylase 9,0.35496379600285755,0.486028026713383,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,SCARA5,ENSG00000168079,scavenger receptor class A member 5,0.354763266906305,0.5730621195210301,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,COL6A3,ENSG00000163359,collagen type VI alpha 3 chain,0.3541106846888353,0.5483735150578279,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,MARCHF1,ENSG00000145416,membrane associated ring-CH-type finger 1,0.34461057077689716,0.5668582215784582,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,PTPN11,ENSG00000179295,protein tyrosine phosphatase non-receptor type 11,0.34209079259279557,0.5475151078598939,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,HNF4A,ENSG00000101076,hepatocyte nuclear factor 4 alpha,0.33754727849586635,0.5476405071437088,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,CLEC4M,ENSG00000104938,C-type lectin domain family 4 member M,0.33717904274287364,0.554633922261464,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,ZFHX3,ENSG00000140836,zinc finger homeobox 3,0.333140465563914,0.5118696919462976,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,PLEKHA1,ENSG00000107679,pleckstrin homology domain containing A1,0.32761185660372555,0.5388966275286841,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,FES,ENSG00000182511,"FES proto-oncogene, tyrosine kinase",0.3198363717219128,0.5185074103446415,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,HABP2,ENSG00000148702,hyaluronan binding protein 2,0.31977561232646096,0.44359708335088055,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,ABCC1,ENSG00000103222,ATP binding cassette subfamily C member 1 (ABCC1 blood group),0.3197533114977921,0.5107716476128382,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,ADGRL3,ENSG00000150471,adhesion G protein-coupled receptor L3,0.31948396687689495,0.5103285961636349,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,TRAFD1,ENSG00000135148,TRAF-type zinc finger domain containing 1,0.3192360473462313,0.5251190573012826,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,CALHM1,ENSG00000185933,calcium homeostasis modulator 1,0.3152228999900108,0.5185177346310265,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,HGFAC,ENSG00000109758,HGF activator,0.3078362075397143,0.5063671864447582,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,TSPAN2,ENSG00000134198,tetraspanin 2,0.30701606485651883,0.49936098019577135,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,PLCB2,ENSG00000137841,phospholipase C beta 2,0.3063476417907567,0.5039186088191374,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,TC2N,ENSG00000165929,"tandem C2 domains, nuclear",0.3034433591242233,0.49914128436388133,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,TGFBR3,ENSG00000069702,transforming growth factor beta receptor 3,0.30304266103319694,0.49240285845427556,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,KCNK3,ENSG00000171303,potassium two pore domain channel subfamily K member 3,0.3025145534861841,0.48735463740670376,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,WNT2B,ENSG00000134245,Wnt family member 2B,0.29972756382649174,0.47099159183755407,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,TTC17,ENSG00000052841,tetratricopeptide repeat domain 17,0.2978390657032839,0.48992264723781853,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,MS4A6A,ENSG00000110077,membrane spanning 4-domains A6A,0.2976384973623015,0.4895927275466788,True,Homo sapiens,2026-07-15
MONDO_1060198,ischemic stroke,Human_Genetics,gwas_credible_sets,CCDC63,ENSG00000173093,coiled-coil domain containing 63,0.29688199102029855,0.48834833205795697,True,Homo sapiens,2026-07-15
